,Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains
0,amk,1,0.0,0,1
1,amk,1.1,0.0,0,1
2,amk,1.1.1,0.0,0,3
3,amk,"1.1.1,4.9",0.0,0,1
4,amk,1.1.1.1,0.0,0,3
5,amk,1.1.1.1.1,0.0,0,23
6,amk,"1.1.1.1.1,2.2.1.1.1",0.0,0,3
7,amk,1.1.1.2,0.0,0,25
8,amk,"1.1.1.2,4.2.1.1.1.1.1.1.i2",0.0,0,1
9,amk,"1.1.1.2.i1,2.2.1.1.1.i3",0.0,0,1
10,amk,1.1.2,2.9411764705882355,5,165
11,amk,"1.1.2,2.2.1.1.1",0.0,0,2
12,amk,"1.1.2,4",0.0,0,1
13,amk,1.1.3,0.0,0,31
14,amk,"1.1.3,4.9",0.0,0,2
15,amk,1.2.1,0.0,0,28
16,amk,"1.2.1,4.9",0.0,0,1
17,amk,1.2.1.1.1,0.0,0,8
18,amk,1.2.1.1.2,0.0,0,3
19,amk,1.2.2,0.0,0,39
20,amk,"1.2.2,4",0.0,0,1
21,amk,1.2.2.1,0.0,0,41
22,amk,"1.2.2.1,1.1.2",0.0,0,1
23,amk,"1.2.2.1,2.2.1.1.1",0.0,0,1
24,amk,"1.2.2.1,4",0.0,0,1
25,amk,"1.2.2.1,4.2.1.2.1.1.i3.1,4.1.i1.1.1.1,2.2.1.1.1,4.2.1.2.1.1.i3.2,4.1.i1.1.2,1.1.1.2.i1,3.1.1.i1,4.2.1.1.1.1.1.1.i2",0.0,0,1
26,amk,1.2.2.2,0.0,0,15
27,amk,"2,4.8",0.0,0,1
28,amk,2.1,20.0,1,4
29,amk,2.2,0.0,0,1
30,amk,"2.2,3",0.0,0,1
31,amk,"2.2,4.8",0.0,0,2
32,amk,2.2.1,4.223107569721115,106,2404
33,amk,"2.2.1,4",33.333333333333336,1,2
34,amk,"2.2.1,4.2",0.0,0,1
35,amk,"2.2.1,4.8",0.0,0,8
36,amk,"2.2.1,4.9",0.0,0,4
37,amk,2.2.1.1,7.246376811594203,5,64
38,amk,2.2.1.1.1,7.298136645962733,47,597
39,amk,"2.2.1.1.1,2.2.1.1.2",100.0,1,0
40,amk,"2.2.1.1.1,3.1.1.i1",0.0,0,1
41,amk,"2.2.1.1.1,4.2.1.2.1.1",0.0,0,2
42,amk,"2.2.1.1.1,4.2.1.2.1.1.i1",0.0,0,6
43,amk,2.2.1.1.1.i1,0.0,0,6
44,amk,2.2.1.1.1.i2,0.0,0,2
45,amk,2.2.1.1.1.i3,10.416666666666666,5,43
